decision_id,category,question,status,recommended_answer,alternatives,risk_if_unresolved,gate,founder_answer
FAC-FD-001,DESIGN_APPROVAL,"What is the authoritative distinction among Facility, Tenant, Organization, Barn, and Business?",FOUNDER_DECISION_REQUIRED,Tenant is strict application context; Facility is durable physical place; Organization is entity identity; Barn is an operational context/topology label; Business is an Organization-domain operating identity. None is automatically equivalent to another.,Treat Barn as Facility; treat Tenant as Facility/account; collapse Organization and Business.,"Conflation would corrupt isolation, lineage, authority and migration decisions.",REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-002,DESIGN_APPROVAL,Is Tenant the strict application data-isolation boundary?,FOUNDER_DECISION_REQUIRED,Yes. Require an explicit Tenant context for every protected record/action or a documented global classification; missing context fails closed or quarantines.,Tenant is billing only; Barn/Facility is the isolation boundary.,Cross-tenant leakage and unsafe default-primary fallbacks.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-003,DESIGN_APPROVAL,"May one Organization control multiple Tenants, and under what evidence?",FOUNDER_DECISION_REQUIRED,"Allow it only through separate typed, dated Tenant-Organization associations plus current action-specific authority; the association itself never proves control authority.",One Organization per Tenant; Organization profile automatically controls linked Tenants.,Real structures may be blocked or blanket authority may be inferred.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-004,DESIGN_APPROVAL,May one physical Facility be associated with multiple Tenants?,FOUNDER_DECISION_REQUIRED,"Allow explicit time-bounded associations where legitimate, while maintaining separate tenant-scoped records and prohibiting cross-tenant visibility or record cascade.",Exactly one Tenant forever; share the same underlying tenant data across Tenants.,Transitions/shared operations can be trapped or tenant isolation can fail.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-005,DESIGN_APPROVAL,What Facility-Area hierarchy is controlling?,FOUNDER_DECISION_REQUIRED,"Use Facility > Area with acyclic parent-area nesting sufficient for site, campus, structure, zone, room, stall, paddock, pasture, asset or hazard; keep labels configurable.",Fixed seven-level hierarchy; flat Facility only.,False precision or inability to model real sites.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-006,DESIGN_APPROVAL,Which Organization types are first-class?,FOUNDER_DECISION_REQUIRED,"Support legal entity, sole proprietor, operating business, nonprofit/rescue, professional practice, service provider/vendor, governmental/educational body and other reviewed type; preserve type provenance and allow multiple non-authorizing types.",Incorporated businesses only; unrestricted free-text type only.,Valid operators may be excluded or semantics become ungoverned.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-007,DESIGN_APPROVAL,"What lifecycle states apply to Facility, Tenant, and Organization?",FOUNDER_DECISION_REQUIRED,"Adopt the candidate state sets in the State Transition Matrix, with closed/decommissioned identities retained and no silent reactivation.",Active/inactive only; hard deletion.,Unsafe transitions and lost lineage.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-008,DESIGN_APPROVAL,"How are transfer, merger, split, closure, suspension, and archival controlled?",FOUNDER_DECISION_REQUIRED,"Use reviewed effective-dated change sets and lineage events; never cascade people, horses, authority, payments, agreements, private records or evidence.",Mutate identifiers in place; clone or move all dependent records.,Silent authority transfer and evidence corruption.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-009,DESIGN_APPROVAL,How is active Tenant/Facility context selected and audited?,FOUNDER_DECISION_REQUIRED,"Require active membership, allowed associations, explicit visible user selection and per-consequential-request revalidation; record context-selection and action audit evidence.","Infer from the last visited Barn, role, payment or deep link.",Confused-deputy access and stale/wrong-context changes.,REQUIRED_BEFORE_DESIGN_APPROVAL,
FAC-FD-010,DESIGN_APPROVAL,Which topology facts may Relationships and Authorization consume?,FOUNDER_DECISION_REQUIRED,"Expose stable IDs, typed topology, lifecycle, effective associations and sensitivity/status facts as versioned references; consumers cannot rewrite topology and must own their own decisions.",Expose raw Facility records broadly; let consumers repair topology.,"Boundary erosion, stale decisions and unauthorized mutation.",REQUIRED_BEFORE_DESIGN_APPROVAL,
