gap_id,title,affected_guide,affected_governance_or_pia_requirement,exact_source_citation,exact_repository_evidence,current_state_classification,severity,likelihood,affected_roles_tenants_facilities_data_workflows,impact,dependency,recommended_treatment,evidence_required_for_closure,lifecycle_stage_for_closure,closure_authority,suspension_trigger,implementation_authorization_required,proposed_implementation_work_package_id,status
CGP006-MAP-GAP-0001,Implementation authority remains closed after documentary mapping,ES-CG-00;ES-CG-01;ES-CG-13,Stage 24 limited activation and non-authorization boundary,governance/implementation/code-guides/PROGRAM_STATUS.md,governance/implementation/code-guides/PROGRAM_STATUS.md;governance/implementation/code-guides/founder-determinations/ES-FD-SOLO-FOUNDER-COMPENSATING-ASSURANCE-2026-07-29/AUTHORITY_AND_EFFECT_RECORD.md,DOCUMENTARY_CONTROL_ONLY,P1_HIGH,CERTAIN,All implementation workflows,Prevents silent conversion from mapping to product implementation.,Separate Founder implementation disposition,Retain as active boundary in Founder packet and PR body.,Founder decision expressly authorizing implementation scope.,Later Founder-authorized implementation workstream,Founder,Any product-code/schema/deploy change in this branch,TRUE,NONE,OPEN
CGP006-MAP-GAP-0002,Endpoint-level authorization and tenant-isolation proof is incomplete,ES-CG-01;ES-CG-10;ES-CG-13,"PIA 02/03 facility, tenant, relationship, authorization, permission",PIA portfolio positions 02 and 03,backend/server.py;backend/core/tenancy.py;backend/core/permissions.py;frontend/src/App.js,PARTIALLY_IMPLEMENTED,P1_HIGH,LIKELY,All authenticated product routes; facility-scoped data; admin/support routes,Route-specific gaps could allow overbroad access if a path lacks server-side scope or capability enforcement.,"Endpoint matrix, negative tests, runtime route inventory",Authorize endpoint-by-endpoint access-control and tenant-isolation verification before implementation claims.,"Route matrix, negative authorization tests, cross-facility denial tests, reviewed exceptions.",Later implementation/evidence workstream,Founder after evidence review,Any new route or changed auth dependency without matrix update,TRUE,CGP006-IWP-CANDIDATE-0001,OPEN
CGP006-MAP-GAP-0003,Guardian/minor safeguarding workflow coverage remains partial,ES-CG-10;ES-CG-13,PIA 08 guardian/minor and safeguarding,PIA portfolio position 08; Stage 24 residual risks,backend/core/minor_safety.py;backend/core/minor_communication.py;backend/routes/student_guardians.py;backend/routes/operations.py,PARTIALLY_IMPLEMENTED,P1_HIGH,LIKELY,"Guardians, minors, riders, lesson readiness, messaging, waivers, media, payments, event signup",Some safeguarded workflows are policy-declared but not fully proven as enforced across routes and UI.,Workflow-by-workflow enforcement mapping and abuse tests,Authorize safeguarding enforcement/evidence package before pilot or production claims.,"Positive/negative minor workflow tests, guardian revocation tests, UI/API consistency evidence.",Later implementation/evidence workstream,Founder after safeguarding review,Minor-facing workflow enabled without guardian proof,TRUE,CGP006-IWP-CANDIDATE-0002,OPEN
CGP006-MAP-GAP-0004,GAP_0004 remains open and decomposed only,ES-CG-10;ES-CG-13,Existing CGP005-TA-APP-GAP-0004 retained implementation evidence gap,governance/implementation/code-guides/PROGRAM_STATUS.md,governance/implementation/code-guides/PROGRAM_STATUS.md;backend;frontend;.github/workflows/ci.yml,DEFERRED_TO_LATER_AUTHORIZED_STAGE,P1_HIGH,CERTAIN,All current-state implementation evidence claims,"No closure may be claimed until implementation, verification, runtime/staging/pilot evidence and authority exist.",Separate Founder authorization plus staged evidence,Keep open; use decomposition as decision input.,"Authorized implementation evidence, CI/local tests, runtime/staging/pilot evidence as applicable.",Later Founder-authorized closure review,Founder,Any silent closure or status token removal,TRUE,CGP006-IWP-CANDIDATE-0008,OPEN
CGP006-MAP-GAP-0005,Financial/provider runtime evidence is absent,ES-CG-10;ES-CG-13,"PIA 09 billing, payments, financial operations",PIA portfolio position 09,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/membership.py;.github/workflows/ci.yml,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,P1_HIGH,LIKELY,"Billing admins, barn owners, owners, subscription state, webhook finance records",Code exists but provider-safe integration and reconciliation evidence are required before financial truth claims.,Authorized provider sandbox/live test plan and evidence custody,Authorize provider-safe billing assurance work package only after Founder decision.,"Signed webhook tests, replay/idempotency evidence, provider reconciliation, financial export verification.",Later implementation/evidence workstream,Founder with financial assurance evidence,Provider credential or price change without evidence update,TRUE,CGP006-IWP-CANDIDATE-0004,OPEN
CGP006-MAP-GAP-0006,Support/platform-admin operating model evidence incomplete,ES-CG-01;ES-CG-13,PIA 01/03 support access and delegated authority,PIA positions 01 and 03; Stage 24 profile,backend/core/permissions.py;backend/routes/admin_portal/support.py;backend/routes/admin_portal/audit_logs.py,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,P2_MEDIUM,LIKELY,"Platform admins, support admins, billing admins, auditors, support tickets","Support access code is present, but operational approval, review, break-glass, and monitoring evidence is incomplete.",Founder-approved support access operating procedure,Prepare support access assurance packet before production support use.,"Role assignment records, support access policy, audit log review evidence, break-glass tests.",Later operations-readiness workstream,Founder,Support access use before policy/evidence,TRUE,CGP006-IWP-CANDIDATE-0005,OPEN
CGP006-MAP-GAP-0007,External assurance/tool setup remains unauthorized and not configured,ES-CG-10;ES-CG-13,Directive external integration/tooling inventory,Current directive sections 13 and 14,EXTERNAL_INTEGRATION_AND_ASSURANCE_TOOLING_INVENTORY.csv;governance/implementation/code-guides/PROGRAM_STATUS.md,DEFERRED_TO_LATER_AUTHORIZED_STAGE,P2_MEDIUM,CERTAIN,Assurance tooling; GitHub repository settings,No independent tool setup evidence can be claimed by this branch.,Separate Founder authorization for tool setup,Keep candidate assurance setup sequence documentary only.,Founder authorization and setup receipts for each tool.,Later tooling setup workstream,Founder,Any tool connection/configuration in this branch,TRUE,CGP006-IWP-CANDIDATE-0007,OPEN
CGP006-MAP-GAP-0008,Local full validation blocked by missing prepared dependencies/environment,ES-CG-10,"Testing, verification, and assurance evidence",Directive command execution rules,backend/requirements.txt;frontend/package.json;frontend/package-lock.json;.github/workflows/ci.yml,BLOCKED_BY_MISSING_DEPENDENCY_OR_ENVIRONMENT,P3_LOW,CERTAIN,Build/test assurance claims,Local audit cannot claim full backend/frontend pass without dependency install or CI runtime.,Prepared environment or CI run,Use package-local validator now; rely on PR CI for existing suite.,Green CI and/or prepared local test environment with no unauthorized setup.,PR review/CI evidence stage,Founder/CI policy,Claiming full pass without evidence,FALSE,NONE,OPEN
CGP006-MAP-GAP-0009,"Audit retention, recovery, and fail-open implications need closure evidence",ES-CG-10;ES-CG-13,"PIA privacy, auditability, retention, reporting",PIA requirements for auditability and retention,backend/core/audit.py;backend/routes/audit.py;docs/AUDIT_LOGGING.md,IMPLEMENTED_WITH_INCOMPLETE_EVIDENCE,P2_MEDIUM,LIKELY,"Audit log, permission denial, support/admin reads",Audit writes are intentionally fail-open and retention is indefinite in v1; recovery/retention evidence remains incomplete.,Retention policy and operational recovery tests,Authorize audit-retention evidence package.,"Retention/deletion rules, recovery test, audit read access tests, fail-open risk acceptance.",Later implementation/evidence workstream,Founder,Production audit claims without recovery/retention evidence,TRUE,CGP006-IWP-CANDIDATE-0006,OPEN
CGP006-MAP-GAP-0010,Production configuration and secret boundary cannot be runtime verified in documentary audit,ES-CG-10;ES-CG-13,Security/privacy configuration and credential boundary,Directive prohibits external setup and secret exposure,backend/core/config.py;backend/core/db.py;backend/storage.py;backend/routes/subscriptions.py,UNKNOWN_REQUIRES_FURTHER_EVIDENCE,P2_MEDIUM,LIKELY,"Production startup, CORS, JWT, Mongo, Stripe, storage, email",Repository code can validate config but this audit cannot inspect live secret state or provider setup.,Authorized runtime environment evidence,Require production/staging environment proof in later workstream.,"Redacted environment proof, startup logs, no-secret-leak validation.",Later deployment-readiness evidence workstream,Founder,Runtime readiness claim without environment evidence,TRUE,CGP006-IWP-CANDIDATE-0005,OPEN
